"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSMUSG00000026473","Glul","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000005089","Slc1a2","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000028931","Kcnab2","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000076498","Trbc2","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000002985","Apoe","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000040952","Rps19","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000074129","Rpl13a","[4,8)",TRUE,"[7,14]",TRUE
"ENSMUSG00000037852","Cpe","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000093674","Rpl41","[4,8)",TRUE,"[7,14]",TRUE
"ENSMUSG00000038976","Ppp1r9b","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000025290","Rps24","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000022949","Clic6","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000024608","Rps14","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000035885","Cox8a","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000065947","mt-Nd4l","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000064367","mt-Nd5","[4,8)",TRUE,"[0,7)",FALSE
