"","gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000041607","ENSMUSG00000041607","Mbp",1,1,2
"ENSMUSG00000004630","ENSMUSG00000004630","Pcp2",2.5,2.5,2
"ENSMUSG00000053310","ENSMUSG00000053310","Nrgn",2.5,2.5,2
"ENSMUSG00000024661","ENSMUSG00000024661","Fth1",4,4,2
"ENSMUSG00000059213","ENSMUSG00000059213","Ddn",5,5.5,2
"ENSMUSG00000032517","ENSMUSG00000032517","Mobp",6,7.5,2
"ENSMUSG00000031425","ENSMUSG00000031425","Plp1",7,8.5,2
"ENSMUSG00000040380","ENSMUSG00000040380","Cbln3",8.5,10.5,2
"ENSMUSG00000024617","ENSMUSG00000024617","Camk2a",8.5,10.5,2
"ENSMUSG00000048644","ENSMUSG00000048644","Ctxn1",10.5,11,2
"ENSMUSG00000061808","ENSMUSG00000061808","Ttr",10.5,11,2
"ENSMUSG00000020428","ENSMUSG00000020428","Gabra6",12,11.5,2
"ENSMUSG00000115783","ENSMUSG00000115783","Bc1",13,14,2
"ENSMUSG00000041261","ENSMUSG00000041261","Car8",14.5,14.5,2
"ENSMUSG00000064351","ENSMUSG00000064351","mt-Co1",14.5,14.5,2
"ENSMUSG00000064358","ENSMUSG00000064358","mt-Co3",16,15,2
"ENSMUSG00000064354","ENSMUSG00000064354","mt-Co2",17,16.5,2
"ENSMUSG00000005716","ENSMUSG00000005716","Pvalb",18,17,2
"ENSMUSG00000031654","ENSMUSG00000031654","Cbln1",19,19.5,2
"ENSMUSG00000044681","ENSMUSG00000044681","Cnpy1",20,21,2
"ENSMUSG00000005892","ENSMUSG00000005892","Trh",21,22,2
"ENSMUSG00000046093","ENSMUSG00000046093","Hpcal4",22,24.5,2
"ENSMUSG00000064357","ENSMUSG00000064357","mt-Atp6",23,25.5,2
"ENSMUSG00000037362","ENSMUSG00000037362","Ccn3",24,26,2
"ENSMUSG00000064179","ENSMUSG00000064179","Tnnt1",25,26.5,2
"ENSMUSG00000030905","ENSMUSG00000030905","Crym",26,28,2
"ENSMUSG00000032554","ENSMUSG00000032554","Trf",27,30.5,2
"ENSMUSG00000032368","ENSMUSG00000032368","Zic1",28.5,31.5,2
"ENSMUSG00000064363","ENSMUSG00000064363","mt-Nd4",28.5,31.5,2
"ENSMUSG00000041773","ENSMUSG00000041773","Enc1",30,32.5,2
"ENSMUSG00000034701","ENSMUSG00000034701","Neurod1",32,33.5,2
"ENSMUSG00000003657","ENSMUSG00000003657","Calb2",32,33.5,2
"ENSMUSG00000045763","ENSMUSG00000045763","Basp1",32,33.5,2
"ENSMUSG00000032174","ENSMUSG00000032174","Icam5",34.5,35.5,2
"ENSMUSG00000064345","ENSMUSG00000064345","mt-Nd2",34.5,35.5,2
"ENSMUSG00000090223","ENSMUSG00000090223","Pcp4",36,36,2
"ENSMUSG00000097248","ENSMUSG00000097248","Gm2694",37,36.5,2
"ENSMUSG00000055333","ENSMUSG00000055333","Fat2",38,37,2
"ENSMUSG00000030102","ENSMUSG00000030102","Itpr1",39.5,37.5,2
"ENSMUSG00000064370","ENSMUSG00000064370","mt-Cytb",39.5,37.5,2
"ENSMUSG00000042671","ENSMUSG00000042671","Rgs8",42,39.5,2
"ENSMUSG00000032532","ENSMUSG00000032532","Cck",42,39.5,2
"ENSMUSG00000021948","ENSMUSG00000021948","Prkcd",42,39.5,2
"ENSMUSG00000064341","ENSMUSG00000064341","mt-Nd1",44,40,2
"ENSMUSG00000059456","ENSMUSG00000059456","Ptk2b",45,43,2
"ENSMUSG00000022421","ENSMUSG00000022421","Nptxr",46.5,47,2
"ENSMUSG00000058624","ENSMUSG00000058624","Gda",46.5,47,2
"ENSMUSG00000030701","ENSMUSG00000030701","Plekhb1",48,48,2
"ENSMUSG00000042834","ENSMUSG00000042834","Nrep",49,49,2
"ENSMUSG00000007207","ENSMUSG00000007207","Stx1a",50,49.5,2
"ENSMUSG00000028222","ENSMUSG00000028222","Calb1",51,51,2
"ENSMUSG00000015090","ENSMUSG00000015090","Ptgds",52,51.5,2
"ENSMUSG00000002930","ENSMUSG00000002930","Ppp1r17",53,52.5,2
"ENSMUSG00000022577","ENSMUSG00000022577","Ly6h",54,53,2
"ENSMUSG00000024873","ENSMUSG00000024873","Cnih2",55,55.5,2
"ENSMUSG00000032936","ENSMUSG00000032936","Camkv",56,57.5,2
"ENSMUSG00000034796","ENSMUSG00000034796","Cpne7",57,60.5,2
"ENSMUSG00000046447","ENSMUSG00000046447","Camk2n1",58.5,61.5,2
"ENSMUSG00000001270","ENSMUSG00000001270","Ckb",58.5,61.5,2
"ENSMUSG00000067786","ENSMUSG00000067786","Nnat",60.5,63,2
