"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSMUSG00000060802","B2m","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000001403","Ube2c","[4,8)",TRUE,"[7,14]",TRUE
"ENSMUSG00000068855","Hist2h2ac","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000033685","Ucp2","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000034994","Eef2","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000058773","Hist1h1b","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000060981","Hist1h4h","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000069267","Hist1h3b","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000021361","Tmem14c","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000060126","Tpt1","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000061232","H2-K1","[4,8)",TRUE,"[0,7)",FALSE
