"","gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000052305","ENSMUSG00000052305","ENSMUSG00000052305",1,1.75,4
"ENSMUSG00000069917","ENSMUSG00000069917","ENSMUSG00000069917",2,2,4
"ENSMUSG00000073940","ENSMUSG00000073940","ENSMUSG00000073940",3,3,4
"ENSMUSG00000027562","ENSMUSG00000027562","ENSMUSG00000027562",4,5,4
"ENSMUSG00000024610","ENSMUSG00000024610","ENSMUSG00000024610",5,9.25,4
"ENSMUSG00000025270","ENSMUSG00000025270","ENSMUSG00000025270",6,12.25,4
"ENSMUSG00000063856","ENSMUSG00000063856","ENSMUSG00000063856",7,13,4
"ENSMUSG00000040592","ENSMUSG00000040592","ENSMUSG00000040592",8,19.75,4
"ENSMUSG00000006574","ENSMUSG00000006574","ENSMUSG00000006574",9,21.25,4
"ENSMUSG00000030707","ENSMUSG00000030707","ENSMUSG00000030707",10,21.5,4
"ENSMUSG00000032126","ENSMUSG00000032126","ENSMUSG00000032126",11,22.25,4
"ENSMUSG00000030605","ENSMUSG00000030605","ENSMUSG00000030605",12,24.5,4
"ENSMUSG00000034248","ENSMUSG00000034248","ENSMUSG00000034248",13,28.25,4
"ENSMUSG00000030798","ENSMUSG00000030798","ENSMUSG00000030798",14,28.75,4
"ENSMUSG00000036594","ENSMUSG00000036594","ENSMUSG00000036594",15,29,4
"ENSMUSG00000004655","ENSMUSG00000004655","ENSMUSG00000004655",16,29.25,4
"ENSMUSG00000030724","ENSMUSG00000030724","ENSMUSG00000030724",17,29.5,4
"ENSMUSG00000026616","ENSMUSG00000026616","ENSMUSG00000026616",18.5,30.25,4
"ENSMUSG00000000682","ENSMUSG00000000682","ENSMUSG00000000682",18.5,30.25,4
"ENSMUSG00000042066","ENSMUSG00000042066","ENSMUSG00000042066",20,30.5,4
"ENSMUSG00000024673","ENSMUSG00000024673","ENSMUSG00000024673",21,33,4
"ENSMUSG00000004552","ENSMUSG00000004552","ENSMUSG00000004552",22,35,4
"ENSMUSG00000105906","ENSMUSG00000105906","ENSMUSG00000105906",23,37.5,4
"ENSMUSG00000032053","ENSMUSG00000032053","ENSMUSG00000032053",24,37.75,4
"ENSMUSG00000028644","ENSMUSG00000028644","ENSMUSG00000028644",25,38.25,4
"ENSMUSG00000037548","ENSMUSG00000037548","ENSMUSG00000037548",26,40.25,4
"ENSMUSG00000021102","ENSMUSG00000021102","ENSMUSG00000021102",27,43.25,4
"ENSMUSG00000025889","ENSMUSG00000025889","ENSMUSG00000025889",28,43.5,4
"ENSMUSG00000003379","ENSMUSG00000003379","ENSMUSG00000003379",29,43.75,4
"ENSMUSG00000076609","ENSMUSG00000076609","ENSMUSG00000076609",30,45.5,4
"ENSMUSG00000073421","ENSMUSG00000073421","ENSMUSG00000073421",31,46.25,4
"ENSMUSG00000049775","ENSMUSG00000049775","ENSMUSG00000049775",32,46.75,4
"ENSMUSG00000052565","ENSMUSG00000052565","ENSMUSG00000052565",33,48,3
"ENSMUSG00000027556","ENSMUSG00000027556","ENSMUSG00000027556",34,48.25,4
"ENSMUSG00000037742","ENSMUSG00000037742","ENSMUSG00000037742",35,50.5,4
"ENSMUSG00000105827","ENSMUSG00000105827","ENSMUSG00000105827",36,51.6666666666667,3
"ENSMUSG00000005161","ENSMUSG00000005161","ENSMUSG00000005161",37,52.25,4
"ENSMUSG00000028332","ENSMUSG00000028332","ENSMUSG00000028332",38,54,4
"ENSMUSG00000040466","ENSMUSG00000040466","ENSMUSG00000040466",39,54.25,4
"ENSMUSG00000076617","ENSMUSG00000076617","ENSMUSG00000076617",40,54.5,4
"ENSMUSG00000029866","ENSMUSG00000029866","ENSMUSG00000029866",41,57.75,4
"ENSMUSG00000104213","ENSMUSG00000104213","ENSMUSG00000104213",42,58.5,4
"ENSMUSG00000024588","ENSMUSG00000024588","ENSMUSG00000024588",43,59.75,4
"ENSMUSG00000030220","ENSMUSG00000030220","ENSMUSG00000030220",44,60,4
"ENSMUSG00000076613","ENSMUSG00000076613","ENSMUSG00000076613",45,61.25,4
"ENSMUSG00000031974","ENSMUSG00000031974","ENSMUSG00000031974",46,62.25,4
"ENSMUSG00000031543","ENSMUSG00000031543","ENSMUSG00000031543",47,62.5,4
"ENSMUSG00000041538","ENSMUSG00000041538","ENSMUSG00000041538",48,63.75,4
"ENSMUSG00000073400","ENSMUSG00000073400","ENSMUSG00000073400",49,64,4
"ENSMUSG00000024164","ENSMUSG00000024164","ENSMUSG00000024164",50,69.25,4
"ENSMUSG00000091694","ENSMUSG00000091694","ENSMUSG00000091694",51,71,4
"ENSMUSG00000024661","ENSMUSG00000024661","ENSMUSG00000024661",52,71.25,4
"ENSMUSG00000026532","ENSMUSG00000026532","ENSMUSG00000026532",53,73.5,4
"ENSMUSG00000028825","ENSMUSG00000028825","ENSMUSG00000028825",55,74.25,4
"ENSMUSG00000014453","ENSMUSG00000014453","ENSMUSG00000014453",55,74.25,4
"ENSMUSG00000022099","ENSMUSG00000022099","ENSMUSG00000022099",55,74.25,4
"ENSMUSG00000027078","ENSMUSG00000027078","ENSMUSG00000027078",57,75.75,4
"ENSMUSG00000024353","ENSMUSG00000024353","ENSMUSG00000024353",58,76.5,4
"ENSMUSG00000068105","ENSMUSG00000068105","ENSMUSG00000068105",59.5,78.75,4
"ENSMUSG00000024399","ENSMUSG00000024399","ENSMUSG00000024399",59.5,78.75,4
"ENSMUSG00000034059","ENSMUSG00000034059","ENSMUSG00000034059",61,81.5,4
"ENSMUSG00000022037","ENSMUSG00000022037","ENSMUSG00000022037",62,84,4
"ENSMUSG00000036478","ENSMUSG00000036478","ENSMUSG00000036478",63.5,84.25,4
"ENSMUSG00000022797","ENSMUSG00000022797","ENSMUSG00000022797",63.5,84.25,4
"ENSMUSG00000069267","ENSMUSG00000069267","ENSMUSG00000069267",65,85,3
"ENSMUSG00000030577","ENSMUSG00000030577","ENSMUSG00000030577",66,86.5,4
"ENSMUSG00000028393","ENSMUSG00000028393","ENSMUSG00000028393",67.5,88,4
"ENSMUSG00000030000","ENSMUSG00000030000","ENSMUSG00000030000",67.5,88,4
"ENSMUSG00000038871","ENSMUSG00000038871","ENSMUSG00000038871",69,88.75,4
"ENSMUSG00000047139","ENSMUSG00000047139","ENSMUSG00000047139",70,90.25,4
"ENSMUSG00000040699","ENSMUSG00000040699","ENSMUSG00000040699",71,91.25,4
"ENSMUSG00000005413","ENSMUSG00000005413","ENSMUSG00000005413",72,92,4
