"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000052305","Hbb-bs",1,1.66666666666667,9
"ENSMUSG00000069917","Hba-a2",2,2,9
"ENSMUSG00000073940","Hbb-bt",3,3,9
"ENSMUSG00000027562","Car2",4,7.66666666666667,9
"ENSMUSG00000024610","Cd74",5,7.77777777777778,9
"ENSMUSG00000063856","Gpx1",6.5,14.3333333333333,9
"ENSMUSG00000025270","Alas2",6.5,14.3333333333333,9
"ENSMUSG00000040592","Cd79b",9,20.8888888888889,9
"ENSMUSG00000030707","Coro1a",10,25.7777777777778,9
"ENSMUSG00000030798","Cd37",11,27.6666666666667,9
"ENSMUSG00000042066","Tmcc2",12.5,28.1111111111111,9
"ENSMUSG00000030724","Cd19",12.5,28.1111111111111,9
"ENSMUSG00000026616","Cr2",14,28.6666666666667,9
"ENSMUSG00000024673","Ms4a1",15,29.6666666666667,9
"ENSMUSG00000034248","Slc25a37",16,30.5555555555556,9
"ENSMUSG00000032126","Hmbs",17,32.2222222222222,9
"ENSMUSG00000049775","Tmsb4x",18,33,9
"ENSMUSG00000036594","H2-Aa",19,33.1111111111111,9
"ENSMUSG00000000682","Cd52",20,33.3333333333333,9
"ENSMUSG00000030605","Mfge8",21,34.6666666666667,9
"ENSMUSG00000006574","Slc4a1",22,35,9
"ENSMUSG00000003379","Cd79a",23,37.7777777777778,9
"ENSMUSG00000037548","H2-DMb2",24,39.7777777777778,9
"ENSMUSG00000004655","Aqp1",25,40.1111111111111,9
"ENSMUSG00000032053","Pou2af1",26,47.5555555555556,9
"ENSMUSG00000076609","Igkc",27,47.6666666666667,9
"ENSMUSG00000025889","Snca",28,48,9
"ENSMUSG00000073421","H2-Ab1",29,48.4444444444444,9
"ENSMUSG00000104213","Ighd",30,48.6666666666667,9
"ENSMUSG00000105906","Iglc1",31,52.3333333333333,9
"ENSMUSG00000041538","H2-Ob",32,53.7777777777778,9
"ENSMUSG00000028644","Ermap",33,55.3333333333333,9
"ENSMUSG00000004552","Ctse",34,57,9
"ENSMUSG00000024588","Fech",35,60,9
"ENSMUSG00000105827","Hist2h2bb",36,63.7142857142857,7
"ENSMUSG00000029866","Kel",37,64.5555555555556,9
"ENSMUSG00000076617","Ighm",38,64.6666666666667,9
"ENSMUSG00000030220","Arhgdib",39,65.5555555555556,9
"ENSMUSG00000027078","Ube2l6",40,66.1111111111111,9
"ENSMUSG00000076613","Ighg2b",41,67.4444444444444,9
"ENSMUSG00000037742","Eef1a1",42,67.8888888888889,9
"ENSMUSG00000028332","Hemgn",43,69.2222222222222,9
"ENSMUSG00000021102","Glrx5",44,69.6666666666667,9
"ENSMUSG00000030577","Cd22",45,70.5555555555556,9
"ENSMUSG00000073400","Trim10",46,73.4444444444444,9
"ENSMUSG00000024353","Mzb1",47,74.4444444444444,9
"ENSMUSG00000031974","Abcb10",48,76.2222222222222,9
"ENSMUSG00000024399","Ltb",49,77.2222222222222,9
"ENSMUSG00000045826","Ptprcap",50,77.8888888888889,9
"ENSMUSG00000014453","Blk",51,79.1111111111111,9
"ENSMUSG00000068105","Tnfrsf13c",52,81.3333333333333,9
"ENSMUSG00000005161","Prdx2",53,85.2222222222222,9
"ENSMUSG00000029580","Actb",54,85.6666666666667,9
"ENSMUSG00000022037","Clu",55,86.4444444444444,9
"ENSMUSG00000027556","Car1",56,86.6666666666667,9
"ENSMUSG00000040809","Chil3",57,87,2
"ENSMUSG00000064267","Hvcn1",58,87.6666666666667,9
"ENSMUSG00000031543","Ank1",59,89.6666666666667,9
"ENSMUSG00000040899","Ccr6",60,91,7
"ENSMUSG00000022099","Dmtn",61,91.6666666666667,9
"ENSMUSG00000091694","Apol11b",62,92.8888888888889,9
"ENSMUSG00000036478","Btg1",63,96.8888888888889,9
"ENSMUSG00000028459","Cd72",64,97.3333333333333,9
"ENSMUSG00000040699","Limd2",65,98.2222222222222,9
"ENSMUSG00000060586","H2-Eb1",66,100.222222222222,9
"ENSMUSG00000034059","Ypel4",67,100.444444444444,9
"ENSMUSG00000052565","Hist1h1d",68,101,7
"ENSMUSG00000026532","Spta1",69,103.222222222222,9
"ENSMUSG00000024164","C3",70,103.333333333333,9
"ENSMUSG00000040466","Blvrb",71,106.222222222222,9
"ENSMUSG00000028825","Rhd",72,108.111111111111,9
"ENSMUSG00000022797","Tfrc",73,110.222222222222,9
"ENSMUSG00000035697","Arhgap45",74,113.555555555556,9
"ENSMUSG00000038871","Bpgm",75,114.444444444444,9
"ENSMUSG00000069267","Hist1h3b",76,114.571428571429,7
"ENSMUSG00000047880","Cxcr5",77,117.111111111111,9
"ENSMUSG00000075031","Hist1h2bb",78,117.142857142857,7
"ENSMUSG00000018293","Pfn1",79,120.777777777778,9
"ENSMUSG00000008193","Spib",80,123.333333333333,9
"ENSMUSG00000026395","Ptprc",81,124.333333333333,9
"ENSMUSG00000076615","Ighg3",82,124.555555555556,9
"ENSMUSG00000039236","Isg20",83,128.777777777778,9
"ENSMUSG00000061132","Blnk",84,129.777777777778,9
"ENSMUSG00000020788","Atp2a3",85,131.222222222222,9
"ENSMUSG00000026447","Pik3c2b",86,132.285714285714,7
"ENSMUSG00000067149","Jchain",87,132.777777777778,9
"ENSMUSG00000076612","Ighg2c",88,133,9
"ENSMUSG00000025085","Ablim1",89,136.444444444444,9
"ENSMUSG00000024338","Psmb8",90,136.888888888889,9
"ENSMUSG00000030468","Siglecg",91,138.222222222222,9
"ENSMUSG00000030000","Add2",92,143.888888888889,9
"ENSMUSG00000022742","Cpox",93,145,9
"ENSMUSG00000029922","Mkrn1",94,146.666666666667,9
"ENSMUSG00000024381","Bin1",95,147.666666666667,9
"ENSMUSG00000038893","Fam117a",96,148,9
