"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSMUSG00000026202","Tuba4a","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000036352","Ubac1","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000027342","Pcna","[12,24]",TRUE,"[10,15]",TRUE
"ENSMUSG00000001403","Ube2c","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000028639","Ybx1","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000057666","Gapdh","[12,24]",TRUE,"[10,15]",TRUE
"ENSMUSG00000054717","Hmgb2","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000090137","Uba52","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000069516","Lyz2","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000006057","Atp5g1","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000035530","Eif1","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000011179","Odc1","[0,12)",FALSE,"[10,15]",TRUE
"ENSMUSG00000075602","Ly6a","[0,12)",FALSE,"[5,10)",TRUE
"ENSMUSG00000023004","Tuba1b","[12,24]",TRUE,"[10,15]",TRUE
"ENSMUSG00000043091","Tuba1c","[0,12)",FALSE,"[5,10)",TRUE
