"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000069917","Hba-a2",1,1.33333333333333,3
"ENSMUSG00000027562","Car2",2,2.33333333333333,3
"ENSMUSG00000073940","Hbb-bt",3.5,3.33333333333333,3
"ENSMUSG00000052305","Hbb-bs",3.5,3.33333333333333,3
"ENSMUSG00000024610","Cd74",5,5.66666666666667,3
"ENSMUSG00000029580","Actb",6,7.33333333333333,3
"ENSMUSG00000063856","Gpx1",7,7.66666666666667,3
"ENSMUSG00000025270","Alas2",8,8.66666666666667,3
"ENSMUSG00000030707","Coro1a",9,9,3
"ENSMUSG00000024673","Ms4a1",10,10.3333333333333,3
"ENSMUSG00000000682","Cd52",11,11.3333333333333,3
"ENSMUSG00000030220","Arhgdib",12,12.3333333333333,3
"ENSMUSG00000030798","Cd37",13,13.3333333333333,3
"ENSMUSG00000060126","Tpt1",14,13.6666666666667,3
"ENSMUSG00000040592","Cd79b",15.5,16.3333333333333,3
"ENSMUSG00000036594","H2-Aa",15.5,16.3333333333333,3
"ENSMUSG00000037548","H2-DMb2",17,17.6666666666667,3
"ENSMUSG00000032053","Pou2af1",18,18.3333333333333,3
"ENSMUSG00000032126","Hmbs",19,18.6666666666667,3
"ENSMUSG00000030605","Mfge8",20,21.3333333333333,3
"ENSMUSG00000073421","H2-Ab1",21,23,3
"ENSMUSG00000004655","Aqp1",22,25,3
"ENSMUSG00000034248","Slc25a37",23,26.3333333333333,3
"ENSMUSG00000026616","Cr2",24,27,3
"ENSMUSG00000036181","Hist1h1c",25,28.6666666666667,3
"ENSMUSG00000037742","Eef1a1",26,30,3
"ENSMUSG00000028332","Hemgn",27,30.3333333333333,3
"ENSMUSG00000004552","Ctse",28,31,3
"ENSMUSG00000040699","Limd2",29,33.3333333333333,3
"ENSMUSG00000052565","Hist1h1d",30,33.6666666666667,3
"ENSMUSG00000003379","Cd79a",31.5,34,3
"ENSMUSG00000030724","Cd19",31.5,34,3
"ENSMUSG00000049775","Tmsb4x",33,35.6666666666667,3
"ENSMUSG00000027078","Ube2l6",34,36,3
"ENSMUSG00000040466","Blvrb",35,36.3333333333333,3
"ENSMUSG00000024399","Ltb",36,40.6666666666667,3
"ENSMUSG00000024588","Fech",37,41,3
"ENSMUSG00000021102","Glrx5",38,42,3
"ENSMUSG00000028644","Ermap",39,42.3333333333333,3
"ENSMUSG00000027556","Car1",40,43.3333333333333,3
"ENSMUSG00000025889","Snca",41,44.6666666666667,3
"ENSMUSG00000105827","Hist2h2bb",42,46.3333333333333,3
"ENSMUSG00000105906","Iglc1",43,46.6666666666667,3
"ENSMUSG00000022099","Dmtn",44,47,3
"ENSMUSG00000031827","Cotl1",45,51.3333333333333,3
"ENSMUSG00000006574","Slc4a1",46.5,51.6666666666667,3
"ENSMUSG00000104213","Ighd",46.5,51.6666666666667,3
"ENSMUSG00000045826","Ptprcap",48,52,3
"ENSMUSG00000005161","Prdx2",50,52.3333333333333,3
"ENSMUSG00000022797","Tfrc",50,52.3333333333333,3
"ENSMUSG00000041538","H2-Ob",50,52.3333333333333,3
"ENSMUSG00000029866","Kel",52,52.6666666666667,3
"ENSMUSG00000031974","Abcb10",53,53.6666666666667,3
"ENSMUSG00000026395","Ptprc",54,54.6666666666667,3
"ENSMUSG00000056201","Cfl1",55,58.3333333333333,3
"ENSMUSG00000026532","Spta1",56,59,3
"ENSMUSG00000076613","Ighg2b",57,59.3333333333333,3
"ENSMUSG00000004665","Cnn2",58,60,3
"ENSMUSG00000073400","Trim10",59,61.3333333333333,3
"ENSMUSG00000076617","Ighm",60,62,3
"ENSMUSG00000076621","Ighj1",61,62.6666666666667,3
"ENSMUSG00000028825","Rhd",62.5,64,3
"ENSMUSG00000076609","Igkc",62.5,64,3
"ENSMUSG00000069267","Hist1h3b",64,70.3333333333333,3
"ENSMUSG00000047139","Cd24a",65,70.6666666666667,3
"ENSMUSG00000022037","Clu",66,71.3333333333333,3
"ENSMUSG00000068105","Tnfrsf13c",67,71.6666666666667,3
"ENSMUSG00000028393","Alad",68,72,3
"ENSMUSG00000075031","Hist1h2bb",69,75.3333333333333,3
"ENSMUSG00000023926","Rhag",70,77.3333333333333,3
"ENSMUSG00000060586","H2-Eb1",71,78,3
"ENSMUSG00000024353","Mzb1",72,78.3333333333333,3
"ENSMUSG00000031543","Ank1",73,79.3333333333333,3
"ENSMUSG00000028581","Laptm5",74.5,79.6666666666667,3
"ENSMUSG00000064267","Hvcn1",74.5,79.6666666666667,3
"ENSMUSG00000036478","Btg1",76,80,3
"ENSMUSG00000030745","Il21r",77,80.3333333333333,3
"ENSMUSG00000032312","Csk",78.5,81.6666666666667,3
"ENSMUSG00000020372","Rack1",78.5,81.6666666666667,3
"ENSMUSG00000091694","Apol11b",80,84,3
"ENSMUSG00000047867","Gimap6",81,85.6666666666667,3
"ENSMUSG00000047880","Cxcr5",82,86.6666666666667,3
"ENSMUSG00000028906","Epb41",83,90.3333333333333,3
"ENSMUSG00000069310","Hist1h3c",84,91.6666666666667,3
"ENSMUSG00000099583","Hist1h3d",85,92,3
"ENSMUSG00000018293","Pfn1",86.5,93,3
"ENSMUSG00000022742","Cpox",86.5,93,3
"ENSMUSG00000076618","Ighj4",88,94,3
"ENSMUSG00000030000","Add2",89,95,3
"ENSMUSG00000031004","Mki67",90.5,97,3
"ENSMUSG00000051839","Gypa",90.5,97,3
"ENSMUSG00000028843","Sh3bgrl3",92.5,100.666666666667,3
"ENSMUSG00000054435","Gimap4",92.5,100.666666666667,3
"ENSMUSG00000040713","Creg1",94.5,102,3
"ENSMUSG00000025085","Ablim1",94.5,102,3
"ENSMUSG00000038893","Fam117a",96.5,102.333333333333,3
"ENSMUSG00000024338","Psmb8",96.5,102.333333333333,3
"ENSMUSG00000030577","Cd22",98.5,102.666666666667,3
"ENSMUSG00000051627","Hist1h1e",98.5,102.666666666667,3
"ENSMUSG00000038871","Bpgm",100,104,3
"ENSMUSG00000022885","St6gal1",101.5,104.333333333333,3
"ENSMUSG00000024164","C3",101.5,104.333333333333,3
