"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSMUSG00000060802","B2m","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000027203","Dut","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000036887","C1qa","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000033685","Ucp2","[8,12]",TRUE,"[7,14]",TRUE
"ENSMUSG00000031004","Mki67","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000020719","Ddx5","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000058773","Hist1h1b","[8,12]",TRUE,"[0,7)",FALSE
"ENSMUSG00000060981","Hist1h4h","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000021361","Tmem14c","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000021377","Dek","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000060126","Tpt1","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000022285","Ywhaz","[4,8)",TRUE,"[0,7)",FALSE
"ENSMUSG00000055447","Cd47","[4,8)",TRUE,"[7,14]",TRUE
