"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSG00000177606","JUN","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000159388","BTG2","[0,10)",FALSE,"[10,15)",TRUE
"ENSG00000135625","EGR4","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000120738","EGR1","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000120129","DUSP1","[0,10)",FALSE,"[10,15)",TRUE
"ENSG00000204388","HSPA1B","[0,10)",FALSE,"[10,15)",TRUE
"ENSG00000130222","GADD45G","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000174576","NPAS4","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000123358","NR4A1","[0,10)",FALSE,"[15,20]",TRUE
"ENSG00000170345","FOS","[10,20)",TRUE,"[0,5)",FALSE
"ENSG00000256618","MTRNR2L1","[30,40]",TRUE,"[5,10)",TRUE
"ENSG00000099860","GADD45B","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000171223","JUNB","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000125740","FOSB","[0,10)",FALSE,"[5,10)",TRUE
"ENSG00000229807","XIST","[10,20)",TRUE,"[15,20]",TRUE
