"gene_id","n"
"ENSG00000002330",2
"ENSG00000002586",4
"ENSG00000004059",4
"ENSG00000004660",4
"ENSG00000004779",4
"ENSG00000005022",2
"ENSG00000005249",2
"ENSG00000005379",2
"ENSG00000005486",4
"ENSG00000005513",3
"ENSG00000005810",4
"ENSG00000005882",3
"ENSG00000005893",4
"ENSG00000006007",3
"ENSG00000006015",3
"ENSG00000006116",4
"ENSG00000006125",4
"ENSG00000006128",4
"ENSG00000006210",4
"ENSG00000006652",2
"ENSG00000007168",4
"ENSG00000007237",2
"ENSG00000007516",4
"ENSG00000008018",2
"ENSG00000008056",4
"ENSG00000008277",3
"ENSG00000008294",2
"ENSG00000008710",4
"ENSG00000008735",4
"ENSG00000008988",3
"ENSG00000010256",4
"ENSG00000010278",4
"ENSG00000010282",2
"ENSG00000010322",4
"ENSG00000010404",4
"ENSG00000011009",3
"ENSG00000011295",3
"ENSG00000011347",3
"ENSG00000011426",3
"ENSG00000012171",3
"ENSG00000012232",2
"ENSG00000013016",3
"ENSG00000013293",3
"ENSG00000013297",4
"ENSG00000013441",2
"ENSG00000014641",4
"ENSG00000015592",4
"ENSG00000015676",4
"ENSG00000018189",3
"ENSG00000018236",4
"ENSG00000018625",4
"ENSG00000019144",3
"ENSG00000019505",4
"ENSG00000019582",4
"ENSG00000020129",4
"ENSG00000021300",4
"ENSG00000021645",3
"ENSG00000022267",4
"ENSG00000022355",4
"ENSG00000023171",3
"ENSG00000023191",3
"ENSG00000023228",2
"ENSG00000023516",3
"ENSG00000023734",4
"ENSG00000024862",2
"ENSG00000025772",4
"ENSG00000026025",4
"ENSG00000028839",2
"ENSG00000031698",4
"ENSG00000033122",2
"ENSG00000033627",4
"ENSG00000034053",4
"ENSG00000034510",4
"ENSG00000034713",4
"ENSG00000035862",4
"ENSG00000036530",4
"ENSG00000037042",2
"ENSG00000038382",3
"ENSG00000040608",2
"ENSG00000040933",2
"ENSG00000041357",2
"ENSG00000042753",4
"ENSG00000044115",3
"ENSG00000044574",3
"ENSG00000046653",4
"ENSG00000047249",4
"ENSG00000047849",4
"ENSG00000048540",4
"ENSG00000048740",4
"ENSG00000049759",2
"ENSG00000050165",4
"ENSG00000050748",4
"ENSG00000051596",3
"ENSG00000052802",3
"ENSG00000053438",4
"ENSG00000054148",2
"ENSG00000054356",4
"ENSG00000054523",4
"ENSG00000054690",4
"ENSG00000054793",4
"ENSG00000055163",4
"ENSG00000055813",3
"ENSG00000057757",4
"ENSG00000058091",4
"ENSG00000058335",4
"ENSG00000058404",4
"ENSG00000058668",4
"ENSG00000058866",2
"ENSG00000059758",3
"ENSG00000059804",3
"ENSG00000059915",4
"ENSG00000060709",2
"ENSG00000061676",4
"ENSG00000061918",4
"ENSG00000063015",2
"ENSG00000063177",4
"ENSG00000063180",4
"ENSG00000063245",3
"ENSG00000063854",4
"ENSG00000064393",3
"ENSG00000064607",3
"ENSG00000064651",3
"ENSG00000064787",4
"ENSG00000065000",2
"ENSG00000065154",3
"ENSG00000065518",4
"ENSG00000065548",3
"ENSG00000065559",4
"ENSG00000065609",4
"ENSG00000065809",3
"ENSG00000066032",3
"ENSG00000066248",2
"ENSG00000066322",4
"ENSG00000066468",3
"ENSG00000067057",4
"ENSG00000067064",3
"ENSG00000067191",3
"ENSG00000067221",3
"ENSG00000067225",4
"ENSG00000067560",3
"ENSG00000067606",4
"ENSG00000067715",4
"ENSG00000067829",4
"ENSG00000067836",3
"ENSG00000067840",4
"ENSG00000067842",3
"ENSG00000067992",3
"ENSG00000068078",3
"ENSG00000068366",3
"ENSG00000068615",2
"ENSG00000068903",4
"ENSG00000069275",3
"ENSG00000069329",4
"ENSG00000069424",4
"ENSG00000069535",3
"ENSG00000070087",4
"ENSG00000070214",4
"ENSG00000070413",3
"ENSG00000070718",2
"ENSG00000070808",4
"ENSG00000070831",2
"ENSG00000070961",4
"ENSG00000071054",2
"ENSG00000071082",4
"ENSG00000071127",3
"ENSG00000071553",4
"ENSG00000072062",2
"ENSG00000072071",4
"ENSG00000072110",2
"ENSG00000072274",2
"ENSG00000072657",2
"ENSG00000072778",3
"ENSG00000072832",4
"ENSG00000073670",3
"ENSG00000073910",2
"ENSG00000073969",4
"ENSG00000074211",4
"ENSG00000074317",4
"ENSG00000074696",2
"ENSG00000074800",4
"ENSG00000074842",2
"ENSG00000075035",2
"ENSG00000075043",4
"ENSG00000075089",2
"ENSG00000075340",2
"ENSG00000075415",3
"ENSG00000075618",3
"ENSG00000075624",4
"ENSG00000075785",2
"ENSG00000075945",4
"ENSG00000076554",4
"ENSG00000076864",4
"ENSG00000077264",3
"ENSG00000077549",4
"ENSG00000077782",2
"ENSG00000078018",4
"ENSG00000078053",4
"ENSG00000078114",3
"ENSG00000078140",3
"ENSG00000078304",2
"ENSG00000078328",4
"ENSG00000078369",4
"ENSG00000078668",4
"ENSG00000078725",3
"ENSG00000078804",3
"ENSG00000078902",4
"ENSG00000079215",4
"ENSG00000079459",3
"ENSG00000079841",3
"ENSG00000080298",2
"ENSG00000080503",2
"ENSG00000080822",4
"ENSG00000080824",4
"ENSG00000080845",2
"ENSG00000081189",2
"ENSG00000081760",2
"ENSG00000082397",3
"ENSG00000082458",3
"ENSG00000082641",4
"ENSG00000082996",3
"ENSG00000083720",4
"ENSG00000083845",4
"ENSG00000084070",3
"ENSG00000084207",4
"ENSG00000084234",4
"ENSG00000084444",4
"ENSG00000084710",4
"ENSG00000084731",4
"ENSG00000084764",4
"ENSG00000085063",3
"ENSG00000085365",3
"ENSG00000085433",3
"ENSG00000085662",2
"ENSG00000085832",3
"ENSG00000086061",4
"ENSG00000086289",4
"ENSG00000086300",4
"ENSG00000086504",4
"ENSG00000087074",2
"ENSG00000087086",4
"ENSG00000087250",4
"ENSG00000087258",4
"ENSG00000087460",4
"ENSG00000087470",3
"ENSG00000088367",3
"ENSG00000088387",3
"ENSG00000088832",4
"ENSG00000088899",3
"ENSG00000088986",4
"ENSG00000088992",4
"ENSG00000089009",3
"ENSG00000089063",2
"ENSG00000089157",3
"ENSG00000089169",3
"ENSG00000089199",4
"ENSG00000089220",4
"ENSG00000089280",2
"ENSG00000089486",4
"ENSG00000089693",4
"ENSG00000089737",4
"ENSG00000089818",4
"ENSG00000090097",2
"ENSG00000090238",4
"ENSG00000090266",3
"ENSG00000090581",2
"ENSG00000091129",4
"ENSG00000091157",3
"ENSG00000091164",3
"ENSG00000091428",4
"ENSG00000091513",4
"ENSG00000092051",4
"ENSG00000092096",4
"ENSG00000092199",3
"ENSG00000092445",2
"ENSG00000092529",3
"ENSG00000092621",2
"ENSG00000092820",4
"ENSG00000092841",4
"ENSG00000092964",4
"ENSG00000093010",3
"ENSG00000096092",3
"ENSG00000096384",4
"ENSG00000097021",4
"ENSG00000099194",4
"ENSG00000099250",2
"ENSG00000099308",4
"ENSG00000099341",4
"ENSG00000099365",4
"ENSG00000099622",4
"ENSG00000099624",4
"ENSG00000099795",3
"ENSG00000099797",2
"ENSG00000099817",4
"ENSG00000099977",3
"ENSG00000100030",4
"ENSG00000100077",3
"ENSG00000100095",4
"ENSG00000100097",4
"ENSG00000100138",3
"ENSG00000100142",2
"ENSG00000100167",4
"ENSG00000100201",4
"ENSG00000100242",4
"ENSG00000100276",2
"ENSG00000100285",4
"ENSG00000100314",3
"ENSG00000100316",4
"ENSG00000100320",3
"ENSG00000100321",4
"ENSG00000100364",4
"ENSG00000100379",4
"ENSG00000100380",2
"ENSG00000100387",2
"ENSG00000100401",4
"ENSG00000100412",2
"ENSG00000100427",3
"ENSG00000100442",3
"ENSG00000100505",3
"ENSG00000100554",4
"ENSG00000100604",4
"ENSG00000100605",2
"ENSG00000100626",3
"ENSG00000100650",3
"ENSG00000100664",3
"ENSG00000100804",4
"ENSG00000100884",4
"ENSG00000100902",3
"ENSG00000100979",3
"ENSG00000100997",4
"ENSG00000101079",4
"ENSG00000101152",4
"ENSG00000101182",4
"ENSG00000101210",4
"ENSG00000101298",2
"ENSG00000101327",3
"ENSG00000101439",4
"ENSG00000101460",4
"ENSG00000101474",4
"ENSG00000101489",4
"ENSG00000101558",2
"ENSG00000101856",4
"ENSG00000102003",4
"ENSG00000102109",4
"ENSG00000102144",4
