"","gene_id","n"
"1","ENSG00000002330",2
"2","ENSG00000002586",4
"3","ENSG00000004059",4
"4","ENSG00000004660",4
"5","ENSG00000004779",4
"6","ENSG00000005022",2
"7","ENSG00000005249",2
"8","ENSG00000005379",2
"9","ENSG00000005486",4
"10","ENSG00000005513",3
"11","ENSG00000005810",4
"12","ENSG00000005882",3
"13","ENSG00000005893",4
"14","ENSG00000006007",3
"15","ENSG00000006015",3
"16","ENSG00000006116",4
"17","ENSG00000006125",4
"18","ENSG00000006128",4
"19","ENSG00000006210",4
"20","ENSG00000006652",2
"21","ENSG00000007168",4
"22","ENSG00000007237",2
"23","ENSG00000007516",4
"24","ENSG00000008018",2
"25","ENSG00000008056",4
"26","ENSG00000008277",3
"27","ENSG00000008294",2
"28","ENSG00000008710",4
"29","ENSG00000008735",4
"30","ENSG00000008988",3
"31","ENSG00000010256",4
"32","ENSG00000010278",4
"33","ENSG00000010282",2
"34","ENSG00000010322",4
"35","ENSG00000010404",4
"36","ENSG00000011009",3
"37","ENSG00000011295",3
"38","ENSG00000011347",3
"39","ENSG00000011426",3
"40","ENSG00000012171",3
"41","ENSG00000012232",2
"42","ENSG00000013016",3
"43","ENSG00000013293",3
"44","ENSG00000013297",4
"45","ENSG00000013441",2
"46","ENSG00000014641",4
"47","ENSG00000015592",4
"48","ENSG00000015676",4
"49","ENSG00000018189",3
"50","ENSG00000018236",4
"51","ENSG00000018625",4
"52","ENSG00000019144",3
"53","ENSG00000019505",4
"54","ENSG00000019582",4
"55","ENSG00000020129",4
"56","ENSG00000021300",4
"57","ENSG00000021645",3
"58","ENSG00000022267",4
"59","ENSG00000022355",4
"60","ENSG00000023171",3
"61","ENSG00000023191",3
"62","ENSG00000023228",2
"63","ENSG00000023516",3
"64","ENSG00000023734",4
"65","ENSG00000024862",2
"66","ENSG00000025772",4
"67","ENSG00000026025",4
"68","ENSG00000028839",2
"69","ENSG00000031698",4
"70","ENSG00000033122",2
"71","ENSG00000033627",4
"72","ENSG00000034053",4
"73","ENSG00000034510",4
"74","ENSG00000034713",4
"75","ENSG00000035862",4
"76","ENSG00000036530",4
"77","ENSG00000037042",2
"78","ENSG00000038382",3
"79","ENSG00000040608",2
"80","ENSG00000040933",2
"81","ENSG00000041357",2
"82","ENSG00000042753",4
"83","ENSG00000044115",3
"84","ENSG00000044574",3
"85","ENSG00000046653",4
"86","ENSG00000047249",4
"87","ENSG00000047849",4
"88","ENSG00000048540",4
"89","ENSG00000048740",4
"90","ENSG00000049759",2
"91","ENSG00000050165",4
"92","ENSG00000050748",4
"93","ENSG00000051596",3
"94","ENSG00000052802",3
"95","ENSG00000053438",4
"96","ENSG00000054148",2
"97","ENSG00000054356",4
"98","ENSG00000054523",4
"99","ENSG00000054690",4
"100","ENSG00000054793",4
"101","ENSG00000055163",4
"102","ENSG00000055813",3
"103","ENSG00000057757",4
"104","ENSG00000058091",4
"105","ENSG00000058335",4
"106","ENSG00000058404",4
"107","ENSG00000058668",4
"108","ENSG00000058866",2
"109","ENSG00000059758",3
"110","ENSG00000059804",3
"111","ENSG00000059915",4
"112","ENSG00000060709",2
"113","ENSG00000061676",4
"114","ENSG00000061918",4
"115","ENSG00000063015",2
"116","ENSG00000063177",4
"117","ENSG00000063180",4
"118","ENSG00000063245",3
"119","ENSG00000063854",4
"120","ENSG00000064393",3
"121","ENSG00000064607",3
"122","ENSG00000064651",3
"123","ENSG00000064787",4
"124","ENSG00000065000",2
"125","ENSG00000065154",3
"126","ENSG00000065518",4
"127","ENSG00000065548",3
"128","ENSG00000065559",4
"129","ENSG00000065609",4
"130","ENSG00000065809",3
"131","ENSG00000066032",3
"132","ENSG00000066248",2
"133","ENSG00000066322",4
"134","ENSG00000066468",3
"135","ENSG00000067057",4
"136","ENSG00000067064",3
"137","ENSG00000067191",3
"138","ENSG00000067221",3
"139","ENSG00000067225",4
"140","ENSG00000067560",3
"141","ENSG00000067606",4
"142","ENSG00000067715",4
"143","ENSG00000067829",4
"144","ENSG00000067836",3
"145","ENSG00000067840",4
"146","ENSG00000067842",3
"147","ENSG00000067992",3
"148","ENSG00000068078",3
"149","ENSG00000068366",3
"150","ENSG00000068615",2
"151","ENSG00000068903",4
"152","ENSG00000069275",3
"153","ENSG00000069329",4
"154","ENSG00000069424",4
"155","ENSG00000069535",3
"156","ENSG00000070087",4
"157","ENSG00000070214",4
"158","ENSG00000070413",3
"159","ENSG00000070718",2
"160","ENSG00000070808",4
"161","ENSG00000070831",2
"162","ENSG00000070961",4
"163","ENSG00000071054",2
"164","ENSG00000071082",4
"165","ENSG00000071127",3
"166","ENSG00000071553",4
"167","ENSG00000072062",2
"168","ENSG00000072071",4
"169","ENSG00000072110",2
"170","ENSG00000072274",2
"171","ENSG00000072657",2
"172","ENSG00000072778",3
"173","ENSG00000072832",4
"174","ENSG00000073670",3
"175","ENSG00000073910",2
"176","ENSG00000073969",4
"177","ENSG00000074211",4
"178","ENSG00000074317",4
"179","ENSG00000074696",2
"180","ENSG00000074800",4
"181","ENSG00000074842",2
"182","ENSG00000075035",2
"183","ENSG00000075043",4
"184","ENSG00000075089",2
"185","ENSG00000075340",2
"186","ENSG00000075415",3
"187","ENSG00000075618",3
"188","ENSG00000075624",4
"189","ENSG00000075785",2
"190","ENSG00000075945",4
"191","ENSG00000076554",4
"192","ENSG00000076864",4
"193","ENSG00000077264",3
"194","ENSG00000077549",4
"195","ENSG00000077782",2
"196","ENSG00000078018",4
"197","ENSG00000078053",4
"198","ENSG00000078114",3
"199","ENSG00000078140",3
"200","ENSG00000078304",2
"201","ENSG00000078328",4
"202","ENSG00000078369",4
"203","ENSG00000078668",4
"204","ENSG00000078725",3
"205","ENSG00000078804",3
"206","ENSG00000078902",4
"207","ENSG00000079215",4
"208","ENSG00000079459",3
"209","ENSG00000079841",3
"210","ENSG00000080298",2
"211","ENSG00000080503",2
"212","ENSG00000080822",4
"213","ENSG00000080824",4
"214","ENSG00000080845",2
"215","ENSG00000081189",2
"216","ENSG00000081760",2
"217","ENSG00000082397",3
"218","ENSG00000082458",3
"219","ENSG00000082641",4
