"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000197971","ENSG00000197971","MBP",1,47.75,4
"ENSG00000118271","ENSG00000118271","TTR",2,78,4
"ENSG00000174871","ENSG00000174871","CNIH2",3,105.75,4
"ENSG00000156508","ENSG00000156508","EEF1A1",4,107,4
"ENSG00000154277","ENSG00000154277","UCHL1",5,108.75,4
"ENSG00000104888","ENSG00000104888","SLC17A7",6,109,4
"ENSG00000168314","ENSG00000168314","MOBP",7,112,4
"ENSG00000137818","ENSG00000137818","RPLP1",8,113.5,4
"ENSG00000075624","ENSG00000075624","ACTB",9,114.5,4
"ENSG00000128656","ENSG00000128656","CHN1",10,120.25,4
"ENSG00000147403","ENSG00000147403","RPL10",11,123.25,4
"ENSG00000087086","ENSG00000087086","FTL",12,127.25,4
"ENSG00000171159","ENSG00000171159","C9orf16",13,128.75,4
"ENSG00000102003","ENSG00000102003","SYP",14,134.75,4
"ENSG00000160014","ENSG00000160014","CALM3",15,137.5,4
"ENSG00000112306","ENSG00000112306","RPS12",16,148,4
"ENSG00000137267","ENSG00000137267","TUBB2A",17,149.5,4
"ENSG00000132639","ENSG00000132639","SNAP25",18,151.75,4
"ENSG00000123560","ENSG00000123560","PLP1",19,153.25,4
"ENSG00000164924","ENSG00000164924","YWHAZ",20,154,4
"ENSG00000109846","ENSG00000109846","CRYAB",21,155,4
"ENSG00000167996","ENSG00000167996","FTH1",22,159,4
"ENSG00000104722","ENSG00000104722","NEFM",23,160.25,4
"ENSG00000053438","ENSG00000053438","NNAT",24,162.5,4
"ENSG00000160781","ENSG00000160781","PAQR6",25,166,4
"ENSG00000160307","ENSG00000160307","S100B",26,171,4
"ENSG00000123416","ENSG00000123416","TUBA1B",27,173.5,4
"ENSG00000142937","ENSG00000142937","RPS8",28,181,4
"ENSG00000073969","ENSG00000073969","NSF",29,183,4
"ENSG00000091513","ENSG00000091513","TF",30,187.75,4
"ENSG00000067715","ENSG00000067715","SYT1",31,190.25,4
"ENSG00000115268","ENSG00000115268","RPS15",32,191.75,4
"ENSG00000143153","ENSG00000143153","ATP1B1",33,193,4
"ENSG00000187094","ENSG00000187094","CCK",34,194.25,4
"ENSG00000220205","ENSG00000220205","VAMP2",35,195,4
"ENSG00000170027","ENSG00000170027","YWHAG",36,196.25,4
"ENSG00000121905","ENSG00000121905","HPCA",37,197.25,4
"ENSG00000172757","ENSG00000172757","CFL1",38,197.5,4
"ENSG00000188191","ENSG00000188191","PRKAR1B",39,200.5,4
"ENSG00000277586","ENSG00000277586","NEFL",40,205.25,4
"ENSG00000205542","ENSG00000205542","TMSB4X",41,206,4
"ENSG00000128245","ENSG00000128245","YWHAH",42,214.25,4
"ENSG00000014641","ENSG00000014641","MDH1",43,215,4
"ENSG00000166501","ENSG00000166501","PRKCB",44,216.25,4
"ENSG00000050165","ENSG00000050165","DKK3",45,216.5,4
"ENSG00000105696","ENSG00000105696","TMEM59L",46,217,4
"ENSG00000157152","ENSG00000157152","SYN2",47,220.5,4
"ENSG00000154917","ENSG00000154917","RAB6B",48,222.5,4
"ENSG00000169085","ENSG00000169085","VXN",49,225,4
"ENSG00000221890","ENSG00000221890","NPTXR",50,231,4
"ENSG00000104435","ENSG00000104435","STMN2",51,231.75,4
"ENSG00000036530","ENSG00000036530","CYP46A1",52,232.5,4
"ENSG00000154096","ENSG00000154096","THY1",53,233,4
"ENSG00000244274","ENSG00000244274","DBNDD2",54,239,4
"ENSG00000143013","ENSG00000143013","LMO4",55,240,4
"ENSG00000167641","ENSG00000167641","PPP1R14A",56,243,4
"ENSG00000176884","ENSG00000176884","GRIN1",57.5,247.5,4
"ENSG00000131095","ENSG00000131095","GFAP",57.5,247.5,4
"ENSG00000185883","ENSG00000185883","ATP6V0C",59.5,248.75,4
"ENSG00000260440","ENSG00000260440","LINC01544",59.5,248.75,4
"ENSG00000136960","ENSG00000136960","ENPP2",61,249.5,4
"ENSG00000186732","ENSG00000186732","MPPED1",62,249.75,4
"ENSG00000265681","ENSG00000265681","RPL17",63,252,4
"ENSG00000167526","ENSG00000167526","RPL13",64,253,4
"ENSG00000164600","ENSG00000164600","NEUROD6",65,254.5,4
"ENSG00000105568","ENSG00000105568","PPP2R1A",66,256.5,4
"ENSG00000034510","ENSG00000034510","TMSB10",67,259.75,4
"ENSG00000178531","ENSG00000178531","CTXN1",68,262.5,4
"ENSG00000008056","ENSG00000008056","SYN1",69,264,4
"ENSG00000135002","ENSG00000135002","RFK",70,266.5,4
"ENSG00000175130","ENSG00000175130","MARCKSL1",71,268.5,4
"ENSG00000143947","ENSG00000143947","RPS27A",72,270,4
"ENSG00000105409","ENSG00000105409","ATP1A3",73,272.25,4
"ENSG00000107317","ENSG00000107317","PTGDS",74,272.75,4
"ENSG00000142541","ENSG00000142541","RPL13A",75,276.75,4
"ENSG00000064787","ENSG00000064787","BCAS1",76,278,4
