"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSG00000110484","SCGB2A2",1,1.66666666666667,3
"ENSG00000198804","MT-CO1",2,4.66666666666667,3
"ENSG00000124935","SCGB1D2",3,5.33333333333333,3
"ENSG00000197971","MBP",4,8,3
"ENSG00000198888","MT-ND1",5,9.33333333333333,3
"ENSG00000198712","MT-CO2",6,9.66666666666667,3
"ENSG00000198899","MT-ATP6",7,12.6666666666667,3
"ENSG00000123560","PLP1",8,15,3
"ENSG00000198938","MT-CO3",9,17.6666666666667,3
"ENSG00000131095","GFAP",10.5,18,3
"ENSG00000198840","MT-ND3",10.5,18,3
"ENSG00000198763","MT-ND2",12,18.3333333333333,3
"ENSG00000111341","MGP",13,18.6666666666667,3
"ENSG00000173432","SAA1",14,19,3
"ENSG00000136541","ERMN",15,20,2
"ENSG00000154146","NRGN",16.5,21.6666666666667,3
"ENSG00000198886","MT-ND4",16.5,21.6666666666667,3
"ENSG00000198727","MT-CYB",18,23.3333333333333,3
"ENSG00000013297","CLDN11",19,24,2
"ENSG00000211592","IGKC",20,26,3
"ENSG00000204655","MOG",21,28,2
"ENSG00000170323","FABP4",22,31.3333333333333,3
"ENSG00000244734","HBB",23,32.3333333333333,3
"ENSG00000171617","ENC1",24,37.3333333333333,3
"ENSG00000132639","SNAP25",25,39.3333333333333,3
"ENSG00000170421","KRT8",26,40,3
"ENSG00000171345","KRT19",27,41,3
"ENSG00000136960","ENPP2",28,42.5,2
"ENSG00000164124","TMEM144",29,43.5,2
"ENSG00000185499","MUC1",31,48.6666666666667,3
"ENSG00000277586","NEFL",31,48.6666666666667,3
"ENSG00000164919","COX6C",31,48.6666666666667,3
"ENSG00000153002","CPB1",33.5,51,2
"ENSG00000130558","OLFM1",33.5,51,3
"ENSG00000148826","NKX6-2",35,51.5,2
"ENSG00000126803","HSPA2",36,52.5,2
"ENSG00000123416","TUBA1B",37,55.6666666666667,3
"ENSG00000109846","CRYAB",38.5,58,3
"ENSG00000109099","PMP22",38.5,58,2
"ENSG00000160182","TFF1",40,60.3333333333333,3
"ENSG00000184144","CNTN2",41,61.5,2
"ENSG00000211897","IGHG3",42,62.6666666666667,3
"ENSG00000111057","KRT18",43,63,3
"ENSG00000211677","IGLC2",44,63.3333333333333,3
"ENSG00000211895","IGHA1",45,64.3333333333333,3
"ENSG00000189043","NDUFA4",46,65,3
"ENSG00000251562","MALAT1",47,67,3
"ENSG00000091513","TF",48,68.6666666666667,3
"ENSG00000163032","VSNL1",49.5,69.6666666666667,3
"ENSG00000067715","SYT1",49.5,69.6666666666667,3
"ENSG00000034510","TMSB10",51,70,3
"ENSG00000167996","FTH1",52,71,3
"ENSG00000163191","S100A11",53,71.3333333333333,3
"ENSG00000128245","YWHAH",54,72,3
"ENSG00000198786","MT-ND5",55,72.3333333333333,3
"ENSG00000168314","MOBP",56,77.6666666666667,3
"ENSG00000128656","CHN1",57,79,3
"ENSG00000173786","CNP",58,79.3333333333333,3
"ENSG00000154277","UCHL1",59,81,3
"ENSG00000131711","MAP1B",60,82.6666666666667,3
"ENSG00000087250","MT3",61,85,3
"ENSG00000106541","AGR2",62.5,86,2
"ENSG00000139970","RTN1",62.5,86,3
"ENSG00000187094","CCK",64,86.3333333333333,3
"ENSG00000104435","STMN2",65,87.3333333333333,3
"ENSG00000150656","CNDP1",66,87.5,2
"ENSG00000102934","PLLP",67,88.5,2
"ENSG00000160014","CALM3",68,89,3
"ENSG00000137267","TUBB2A",69,90.3333333333333,3
"ENSG00000101439","CST3",70,90.6666666666667,3
"ENSG00000171476","HOPX",71,92,3
"ENSG00000269028","MTRNR2L12",72,94.6666666666667,3
"ENSG00000172020","GAP43",73,96,3
"ENSG00000212907","MT-ND4L",74,97,3
"ENSG00000211892","IGHG4",75,99.3333333333333,3
"ENSG00000160180","TFF3",76,100,3
"ENSG00000104722","NEFM",77,101.666666666667,3
"ENSG00000115756","HPCAL1",78,103.333333333333,3
"ENSG00000183036","PCP4",79,105,3
"ENSG00000198668","CALM1",80,106.666666666667,3
"ENSG00000110436","SLC1A2",81,110.333333333333,3
"ENSG00000176788","BASP1",82,112,3
"ENSG00000228253","MT-ATP8",83,113.666666666667,3
"ENSG00000162545","CAMK2N1",84,114.333333333333,3
"ENSG00000143013","LMO4",85,118.333333333333,3
"ENSG00000165949","IFI27",86,118.666666666667,3
"ENSG00000101210","EEF1A2",87,122,3
"ENSG00000014641","MDH1",88,122.333333333333,3
"ENSG00000123689","G0S2",89,123.333333333333,3
"ENSG00000150625","GPM6A",90,124,3
"ENSG00000173267","SNCG",91,124.666666666667,3
"ENSG00000170027","YWHAG",92.5,126,3
"ENSG00000104888","SLC17A7",92.5,126,3
"ENSG00000074317","SNCB",94.5,128.333333333333,3
"ENSG00000188536","HBA2",94.5,128.333333333333,3
"ENSG00000137818","RPLP1",96,130,3
"ENSG00000154096","THY1",97,134.666666666667,3
"ENSG00000108821","COL1A1",98,135.333333333333,3
"ENSG00000164326","CARTPT",99,139.666666666667,3
"ENSG00000167552","TUBA1A",100,140,3
"ENSG00000105695","MAG",101,141.333333333333,3
"ENSG00000136854","STXBP1",102,141.666666666667,3
"ENSG00000117152","RGS4",103.5,142.666666666667,3
"ENSG00000166710","B2M",103.5,142.666666666667,3
"ENSG00000133318","RTN3",105,144.333333333333,3
"ENSG00000100219","XBP1",106,147.333333333333,3
"ENSG00000156508","EEF1A1",107,147.666666666667,3
"ENSG00000106976","DNM1",108,148.666666666667,3
"ENSG00000166165","CKB",109,153,3
"ENSG00000113140","SPARC",110,155,3
"ENSG00000176046","NUPR1",111,156,3
"ENSG00000111674","ENO2",112,157.666666666667,3
"ENSG00000112306","RPS12",113,158,3
"ENSG00000143153","ATP1B1",114,159,3
