"","gene_id","gene_name","n_signif","n_rank"
"ENSG00000187608","ENSG00000187608","ISG15",3,3
"ENSG00000078369","ENSG00000078369","GNB1",3,3
"ENSG00000187730","ENSG00000187730","GABRD",3,3
"ENSG00000067606","ENSG00000067606","PRKCZ",3,3
"ENSG00000158109","ENSG00000158109","TPRG1L",2,3
"ENSG00000069424","ENSG00000069424","KCNAB2",3,3
"ENSG00000116254","ENSG00000116254","CHD5",3,3
"ENSG00000097021","ENSG00000097021","ACOT7",3,3
"ENSG00000171735","ENSG00000171735","CAMTA1",2,3
"ENSG00000074800","ENSG00000074800","ENO1",3,3
"ENSG00000171603","ENSG00000171603","CLSTN1",3,3
"ENSG00000054523","ENSG00000054523","KIF1B",2,3
"ENSG00000116661","ENSG00000116661","FBXO2",3,3
"ENSG00000142634","ENSG00000142634","EFHD2",3,3
"ENSG00000159363","ENSG00000159363","ATP13A2",3,3
"ENSG00000173436","ENSG00000173436","MINOS1",3,3
"ENSG00000162545","ENSG00000162545","CAMK2N1",3,3
"ENSG00000158828","ENSG00000158828","PINK1",3,3
"ENSG00000075151","ENSG00000075151","EIF4G3",3,3
"ENSG00000076864","ENSG00000076864","RAP1GAP",2,3
"ENSG00000070831","ENSG00000070831","CDC42",2,3
"ENSG00000142676","ENSG00000142676","RPL11",3,3
"ENSG00000117643","ENSG00000117643","MAN1C1",2,3
"ENSG00000117632","ENSG00000117632","STMN1",3,3
"ENSG00000198830","ENSG00000198830","HMGN2",3,3
"ENSG00000130770","ENSG00000130770","ATP5IF1",3,3
"ENSG00000121769","ENSG00000121769","FABP3",3,3
"ENSG00000121753","ENSG00000121753","ADGRB2",3,3
"ENSG00000175130","ENSG00000175130","MARCKSL1",3,3
"ENSG00000134684","ENSG00000134684","YARS",2,3
"ENSG00000121905","ENSG00000121905","HPCA",3,3
"ENSG00000020129","ENSG00000020129","NCDN",3,3
"ENSG00000168653","ENSG00000168653","NDUFS5",3,3
"ENSG00000116983","ENSG00000116983","HPCAL4",3,3
"ENSG00000117016","ENSG00000117016","RIMS3",3,3
"ENSG00000066322","ENSG00000066322","ELOVL1",3,3
"ENSG00000117410","ENSG00000117410","ATP6V0B",3,3
"ENSG00000142937","ENSG00000142937","RPS8",3,3
"ENSG00000173660","ENSG00000173660","UQCRH",3,3
"ENSG00000186160","ENSG00000186160","CYP4Z1",3,3
"ENSG00000162373","ENSG00000162373","BEND5",3,3
"ENSG00000162374","ENSG00000162374","ELAVL4",3,3
"ENSG00000123091","ENSG00000123091","RNF11",3,3
"ENSG00000085832","ENSG00000085832","EPS15",3,3
"ENSG00000162378","ENSG00000162378","ZYG11B",2,3
"ENSG00000116209","ENSG00000116209","TMEM59",3,3
"ENSG00000157216","ENSG00000157216","SSBP3",3,3
"ENSG00000116133","ENSG00000116133","DHCR24",3,3
"ENSG00000116675","ENSG00000116675","DNAJC6",3,3
"ENSG00000172260","ENSG00000172260","NEGR1",3,3
