"gene_id","gene_name","nSD_bin_dev","dev_outlier","nSD_bin_rank","rank_outlier"
"ENSG00000162595","DIRAS3","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000106624","AEBP1","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000135046","ANXA1","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000077327","SPAG6","[8,16]",TRUE,"[0,5)",FALSE
"ENSG00000177098","SCN4B","[0,8)",FALSE,"[10,15]",TRUE
"ENSG00000154146","NRGN","[8,16]",TRUE,"[0,5)",FALSE
"ENSG00000007516","BAIAP3","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000264364","DYNLL2","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000105519","CAPS","[8,16]",TRUE,"[0,5)",FALSE
"ENSG00000006016","CRLF1","[0,8)",FALSE,"[5,10)",TRUE
"ENSG00000100302","RASD2","[0,8)",FALSE,"[5,10)",TRUE
