"","gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSG00000131095","ENSG00000131095","GFAP",1,7.6,5
"ENSG00000197971","ENSG00000197971","MBP",2,9.4,5
"ENSG00000123560","ENSG00000123560","PLP1",3,17.4,5
"ENSG00000198727","ENSG00000198727","MT-CYB",4,19.8,5
"ENSG00000198899","ENSG00000198899","MT-ATP6",5,20.8,5
"ENSG00000183036","ENSG00000183036","PCP4",6,23,5
"ENSG00000181195","ENSG00000181195","PENK",7,23.8,5
"ENSG00000198938","ENSG00000198938","MT-CO3",8,24,5
"ENSG00000020129","ENSG00000020129","NCDN",9,28.2,5
"ENSG00000172995","ENSG00000172995","ARPP21",10,28.8,5
"ENSG00000105519","ENSG00000105519","CAPS",11,31.5,2
"ENSG00000128989","ENSG00000128989","ARPP19",12,33.8,5
"ENSG00000163630","ENSG00000163630","SYNPR",13,44.6,5
"ENSG00000198840","ENSG00000198840","MT-ND3",14,48.4,5
"ENSG00000154146","ENSG00000154146","NRGN",15,48.6,5
"ENSG00000198886","ENSG00000198886","MT-ND4",16,49.6,5
"ENSG00000198888","ENSG00000198888","MT-ND1",17,52.6,5
"ENSG00000186973","ENSG00000186973","FAM183A",18,54.5,2
"ENSG00000110436","ENSG00000110436","SLC1A2",19,55.6,5
"ENSG00000050165","ENSG00000050165","DKK3",20,55.8,5
"ENSG00000138814","ENSG00000138814","PPP3CA",21.5,59,5
"ENSG00000156298","ENSG00000156298","TSPAN7",21.5,59,5
"ENSG00000168314","ENSG00000168314","MOBP",23,61.2,5
"ENSG00000242265","ENSG00000242265","PEG10",24,62.6,5
"ENSG00000170091","ENSG00000170091","NSG2",25,64.6,5
"ENSG00000171951","ENSG00000171951","SCG2",26,66.4,5
"ENSG00000091513","ENSG00000091513","TF",27,66.6,5
"ENSG00000125869","ENSG00000125869","LAMP5",28,67.2,5
"ENSG00000053438","ENSG00000053438","NNAT",29,70.8,5
"ENSG00000109846","ENSG00000109846","CRYAB",30,71.8,5
"ENSG00000154096","ENSG00000154096","THY1",31,73.8,5
"ENSG00000212907","ENSG00000212907","MT-ND4L",32,77.8,5
"ENSG00000099194","ENSG00000099194","SCD",33,78.4,5
"ENSG00000173786","ENSG00000173786","CNP",34,80.6,5
"ENSG00000198804","ENSG00000198804","MT-CO1",35.5,82.6,5
"ENSG00000198786","ENSG00000198786","MT-ND5",35.5,82.6,5
"ENSG00000198712","ENSG00000198712","MT-CO2",37,83,5
"ENSG00000214548","ENSG00000214548","MEG3",38,84.6,5
"ENSG00000129654","ENSG00000129654","FOXJ1",39,86,2
